S 150780,4 miss eviction s = 28, b= 0
S 15088c,4 hit s = 4, b= 12
L 111e4c,4 miss eviction s = 18, b= 12
L 111e50,4 hit s = 18, b= 16
L 111e54,4 hit s = 18, b= 20
L 111e58,4 hit s = 18, b= 24
L 111e5c,4 hit s = 18, b= 28
L 111e60,4 miss eviction s = 19, b= 0
L 111e64,4 hit s = 19, b= 4
L 111e68,4 hit s = 19, b= 8
S 15013c,4 hit s = 9, b= 28
S 150248,4 miss eviction s = 18, b= 8
S 150354,4 hit s = 26, b= 20
S 150460,4 miss eviction s = 3, b= 0
S 15056c,4 hit s = 11, b= 12
S 150678,4 miss eviction s = 19, b= 24
S 150784,4 hit s = 28, b= 4
S 150890,4 hit s = 4, b= 16
L 111f40,4 miss eviction s = 26, b= 0
L 111f44,4 hit s = 26, b= 4
L 111f48,4 hit s = 26, b= 8
L 111f4c,4 hit s = 26, b= 12
L 111f50,4 hit s = 26, b= 16
L 111f54,4 hit s = 26, b= 20
L 111f58,4 hit s = 26, b= 24
L 111f5c,4 hit s = 26, b= 28
S 150140,4 miss eviction s = 10, b= 0
S 15024c,4 hit s = 18, b= 12
S 150358,4 miss eviction s = 26, b= 24
S 150464,4 hit s = 3, b= 4
S 150570,4 hit s = 11, b= 16
S 15067c,4 hit s = 19, b= 28
S 150788,4 hit s = 28, b= 8
S 150894,4 hit s = 4, b= 20
L 112034,4 miss eviction s = 1, b= 20
L 112038,4 hit s = 1, b= 24
L 11203c,4 hit s = 1, b= 28
L 112040,4 miss eviction s = 2, b= 0
L 112044,4 hit s = 2, b= 4
L 112048,4 hit s = 2, b= 8
L 11204c,4 hit s = 2, b= 12
L 112050,4 hit s = 2, b= 16
S 150144,4 hit s = 10, b= 4
S 150250,4 hit s = 18, b= 16
S 15035c,4 hit s = 26, b= 28
S 150468,4 hit s = 3, b= 8
S 150574,4 hit s = 11, b= 20
S 150680,4 miss eviction s = 20, b= 0
S 15078c,4 hit s = 28, b= 12
S 150898,4 hit s = 4, b= 24
L 112128,4 miss eviction s = 9, b= 8
L 11212c,4 hit s = 9, b= 12
L 112130,4 hit s = 9, b= 16
L 112134,4 hit s = 9, b= 20
L 112138,4 hit s = 9, b= 24
L 11213c,4 hit s = 9, b= 28
L 112140,4 miss eviction s = 10, b= 0
L 112144,4 hit s = 10, b= 4
S 150148,4 miss eviction s = 10, b= 8
S 150254,4 hit s = 18, b= 20
S 150360,4 miss eviction s = 27, b= 0
S 15046c,4 hit s = 3, b= 12
S 150578,4 hit s = 11, b= 24
S 150684,4 hit s = 20, b= 4
S 150790,4 hit s = 28, b= 16
S 15089c,4 hit s = 4, b= 28
L 11221c,4 miss eviction s = 16, b= 28
L 112220,4 miss eviction s = 17, b= 0
L 112224,4 hit s = 17, b= 4
L 112228,4 hit s = 17, b= 8
L 11222c,4 hit s = 17, b= 12
L 112230,4 hit s = 17, b= 16
L 112234,4 hit s = 17, b= 20
L 112238,4 hit s = 17, b= 24
S 15014c,4 hit s = 10, b= 12
S 150258,4 hit s = 18, b= 24
S 150364,4 hit s = 27, b= 4
S 150470,4 hit s = 3, b= 16
S 15057c,4 hit s = 11, b= 28
S 150688,4 hit s = 20, b= 8
S 150794,4 hit s = 28, b= 20
