S 14f2b4,4 hit s = 21, b= 20
S 14f334,4 hit s = 25, b= 20
S 14f3b4,4 hit s = 29, b= 20
S 14f434,4 hit s = 1, b= 20
S 14f4b4,4 hit s = 5, b= 20
L 10ffc0,4 miss eviction s = 30, b= 0
L 10ffc4,4 hit s = 30, b= 4
L 10ffc8,4 hit s = 30, b= 8
L 10ffcc,4 hit s = 30, b= 12
L 10ffd0,4 hit s = 30, b= 16
L 10ffd4,4 hit s = 30, b= 20
L 10ffd8,4 hit s = 30, b= 24
L 10ffdc,4 hit s = 30, b= 28
S 14f138,4 hit s = 9, b= 24
S 14f1b8,4 hit s = 13, b= 24
S 14f238,4 hit s = 17, b= 24
S 14f2b8,4 hit s = 21, b= 24
S 14f338,4 hit s = 25, b= 24
S 14f3b8,4 hit s = 29, b= 24
S 14f438,4 hit s = 1, b= 24
S 14f4b8,4 hit s = 5, b= 24
L 110040,4 miss eviction s = 2, b= 0
L 110044,4 hit s = 2, b= 4
L 110048,4 hit s = 2, b= 8
L 11004c,4 hit s = 2, b= 12
L 110050,4 hit s = 2, b= 16
L 110054,4 hit s = 2, b= 20
L 110058,4 hit s = 2, b= 24
L 11005c,4 hit s = 2, b= 28
S 14f13c,4 hit s = 9, b= 28
S 14f1bc,4 hit s = 13, b= 28
S 14f23c,4 hit s = 17, b= 28
S 14f2bc,4 hit s = 21, b= 28
S 14f33c,4 hit s = 25, b= 28
S 14f3bc,4 hit s = 29, b= 28
S 14f43c,4 hit s = 1, b= 28
S 14f4bc,4 hit s = 5, b= 28
L 10f0e0,4 miss eviction s = 7, b= 0
L 10f0e4,4 hit s = 7, b= 4
L 10f0e8,4 hit s = 7, b= 8
L 10f0ec,4 hit s = 7, b= 12
L 10f0f0,4 hit s = 7, b= 16
L 10f0f4,4 hit s = 7, b= 20
L 10f0f8,4 hit s = 7, b= 24
L 10f0fc,4 hit s = 7, b= 28
S 14f4c0,4 miss eviction s = 6, b= 0
S 14f540,4 miss eviction s = 10, b= 0
S 14f5c0,4 miss eviction s = 14, b= 0
S 14f640,4 miss eviction s = 18, b= 0
S 14f6c0,4 miss eviction s = 22, b= 0
S 14f740,4 miss eviction s = 26, b= 0
S 14f7c0,4 miss eviction s = 30, b= 0
S 14f840,4 miss eviction s = 2, b= 0
L 10f160,4 miss eviction s = 11, b= 0
L 10f164,4 hit s = 11, b= 4
L 10f168,4 hit s = 11, b= 8
L 10f16c,4 hit s = 11, b= 12
L 10f170,4 hit s = 11, b= 16
L 10f174,4 hit s = 11, b= 20
L 10f178,4 hit s = 11, b= 24
L 10f17c,4 hit s = 11, b= 28
S 14f4c4,4 hit s = 6, b= 4
S 14f544,4 hit s = 10, b= 4
S 14f5c4,4 hit s = 14, b= 4
S 14f644,4 hit s = 18, b= 4
S 14f6c4,4 hit s = 22, b= 4
S 14f744,4 hit s = 26, b= 4
S 14f7c4,4 hit s = 30, b= 4
S 14f844,4 hit s = 2, b= 4
L 10f1e0,4 miss eviction s = 15, b= 0
L 10f1e4,4 hit s = 15, b= 4
L 10f1e8,4 hit s = 15, b= 8
L 10f1ec,4 hit s = 15, b= 12
L 10f1f0,4 hit s = 15, b= 16
L 10f1f4,4 hit s = 15, b= 20
L 10f1f8,4 hit s = 15, b= 24
L 10f1fc,4 hit s = 15, b= 28
S 14f4c8,4 hit s = 6, b= 8
S 14f548,4 hit s = 10, b= 8
S 14f5c8,4 hit s = 14, b= 8
S 14f648,4 hit s = 18, b= 8
S 14f6c8,4 hit s = 22, b= 8
S 14f748,4 hit s = 26, b= 8
S 14f7c8,4 hit s = 30, b= 8
S 14f848,4 hit s = 2, b= 8
L 10f260,4 miss eviction s = 19, b= 0
L 10f264,4 hit s = 19, b= 4
